,created_at,author_id,id,text
36,2022-04-12T07:33:38.000Z,353820289,1513782379751821312,"@rase_nakano @jokowi Eh tolol justru di jaman @jokowi ini Indonesia di buat gaduh,coba klo presiden ny bukan Jokowi Indonesia aman tentram sejahtera!!"
37,2022-04-12T07:33:38.000Z,817724394294214657,1513782379105914884,"@andrinof_a_ch @ferrykoto Yang Biadab itu,, Pendukung Jokowi,, Karena Membunuh dan Menyiksa pihak OPOSISI dan Anggota FPI,, Ade Armando Masih Hidup,, https://t.co/n5OHwKiqrp"
38,2022-04-12T07:33:35.000Z,1489448466489036801,1513782367747547137,"@QFORA_Official This is excellent project for the future with strong team, a transparent, planned and project roadmap. it will be successfulI. Always be waiting for the progress of this project. To the moo
@jokowi @prabowo @dedicorebelde"
39,2022-04-12T07:33:33.000Z,1490686767867269120,1513782356536016900,"Rakyat bela jokowi 

Rakyat yang mane?? Rakyat buzzer?"
40,2022-04-12T07:33:27.000Z,2531325416,1513782331412123649,"Presiden Jokowi Terima Laporan Tahunan 2021 Ombudsman RI

Presiden Joko Widodo menerima para pimpinan Ombudsman Republik Indonesia di Istana Merdeka, Jakarta, pada Selasa, 12 April 2022. https://t.co/Vxtb9buPLU"
41,2022-04-12T07:33:27.000Z,1439532368482742273,1513782331269533697,@ChusnulCh__ @mohmahfudmd @ListyoSigitP @jokowi https://t.co/qN9fpBNlNY
42,2022-04-12T07:33:22.000Z,395984870,1513782310466125826,"@keuangannews_id siapa bilang??

cukong2 sama buzzer masih butuh jokowi terutama buzzer.... bisa gak makan mereka hahaha"
43,2022-04-12T07:33:14.000Z,213594933,1513782276290596865,@Maya83206301 @chusnulch_ @DavidWijaya82 @TomCruzz555 Kalau pemerintah 'tidak berani' menangkap dan menghukum berat para provokator aksi kemarin terutama yang ingin menjatuhkan pak Jokowi maka secara tidak langsung pihak pengacau sudah menang dan pasti besok2 akan ada lagi aksi kekerasan seperti itu dimuka umum.#SayaPercayaJokowi
44,2022-04-12T07:33:11.000Z,86908023,1513782266991886336,{Terkini} Presiden Jokowi lantik Anggota KPU dan Bawaslu periode 2022-2027 https://t.co/Aa95oPMBfA
45,2022-04-12T07:33:04.000Z,297229975,1513782234368540674,"@Ridanulantary1 @Arief_2792 @HerawanBoma @VICE_ID @jokowi Mba, maaf sebelumnya. Apakah berbicara didasari atas bukti? Bahaya menyebarkan opini tanpa dasar bukti yg kuat."
46,2022-04-12T07:32:59.000Z,1497587210799185923,1513782214219415555,@ariandi6031 Jokowi Berulang Kali Tolak Perpanjangan Masa Jabatan
47,2022-04-12T07:32:58.000Z,98910062,1513782210729771011,@PartaiSocmed @jokowi Kalo resesi butuhnya cash?
48,2022-04-12T07:32:56.000Z,1396063466096500737,1513782203284877314,@ariandi6031 joss gandos pak jokowi
49,2022-04-12T07:32:49.000Z,1488783159206752259,1513782175296278532,@ariandi6031 Semoga bisa 3 periode Aamiin...namun pasti tergantung bagaimana Takdir diri Pak Jokowi yg dikehendaki ALLAH kepadanya.
50,2022-04-12T07:32:43.000Z,1284414133845151745,1513782148326637569,Jokowi Resmi Lantik 7 Anggota KPU dan 5 Bawaslu 2022-2027 https://t.co/top1OCg16l
51,2022-04-12T07:32:42.000Z,1284414133845151745,1513782142513422336,Jokowi Tetapkan Santunan Pelepasan Tanah Musnah untuk Proyek Cair 2 Hari https://t.co/H3cyymaltX
52,2022-04-12T07:32:41.000Z,1396062910204416003,1513782140843925505,@ariandi6031 pakde jokowi nolak jabatan 3 periode
53,2022-04-12T07:32:41.000Z,1284414133845151745,1513782138642079745,Jokowi Siang Ini Lantik Anggota KPU dan Bawaslu 2022-2027 https://t.co/4fLTnfEHA2
54,2022-04-12T07:32:41.000Z,1491649474392825858,1513782138549637120,@jokowi Alhamdulilah hirobbil Al-Amin moga berkah pak 🤲💪💪💪
55,2022-04-12T07:32:40.000Z,1428316351714631687,1513782133612896256,@vita_AVP @ListyoSigitP Salah pilih nih Pak Jokowi...
56,2022-04-12T07:32:39.000Z,1509813187734302720,1513782130664374276,@jokowi sehat selalu ya buat bapak🥰
57,2022-04-12T07:32:36.000Z,143345585,1513782117800775685,@yunartowijaya Jadi yang ngegebugin bang Ade Armando itu pengen Pak Jokowi 3 periode. Kok malu2 Kadrun sih? 😅
58,2022-04-12T07:32:32.000Z,1513355659185901576,1513782100264042497,"@jokowi Sebaiknya klo udah ga mampu mundur aja,bpk ninggalin utang gpp yg penting jgn nambah,nambah semrawut,nambah ekonomi meroket"
59,2022-04-12T07:32:26.000Z,2151075390,1513782075651858434,"@detikcom hahha, @jokowi"
60,2022-04-12T07:32:25.000Z,984612852,1513782071684059139,"Jokowi Lantik Komisioner KPU dan Bawaslu 

Selengkapnya klik tautan berikut ini.
#jakarta #presiden #pelantikan #komisioner #kpu #bawaslu 

https://t.co/6YBhJ73lsC"
61,2022-04-12T07:32:16.000Z,154102750,1513782035240095744,Presiden Jokowi Lantik Komisioner KPU dan Bawaslu Periode 2022-2027 https://t.co/MdX6YUrAzH https://t.co/Pw9YaYtgUZ
62,2022-04-12T07:32:12.000Z,1471389939443003399,1513782018793881602,@MangkuNegara4 @AgusSup39011241 @AgusYudhoyono @PDemokrat @jokowi @SBYudhoyono @Pak_JK @airlangga_hrt @cakimiNOW @sandiuno @Nurmantyo_Gatot Duwit yang takan habis sampai 7turunan memang harus berkurang karena didapat dari cara2 kurang baik
63,2022-04-12T07:32:11.000Z,1398465043746856962,1513782012938977281,@yenajigeumina jokowi
64,2022-04-12T07:32:07.000Z,709721068856954880,1513781999290384386,@JacksQuevara @sehat_roemah @jokowi @ganjarpranowo @hputrasoeharto Kecilikan😁
65,2022-04-12T07:32:06.000Z,123757780,1513781994848587776,"Selain Tuntut Jokowi Turun, Demonstran Serukan Khilafah: Islam Solusi Keadilan: Sebuah video yang memperlihatkan massa demonstran tak hanya menuntut Presiden Jokowi turun dari jabatannya melainkan juga menyerukan penerapan… https://t.co/o8QTH744BN #News #jokowiturun #khilafah"
66,2022-04-12T07:31:57.000Z,1873449728,1513781956239974400,@nadiraayubi_ @kangdede78 @jokowi Kok ngak nampak ngawa ? NGUMPETKAH ?
67,2022-04-12T07:31:57.000Z,1493214083554103297,1513781955334385670,"@MrsRachelIn @jokowi Sepertinya ada benang merahnya,
Dana demo gak sedikit kan.🫣"
68,2022-04-12T07:31:57.000Z,4519796599,1513781954457800705,"@dek_bintank Hari ini 12 April 2022, presidenmu masih JOKOWI...uuurrraaaa"
69,2022-04-12T07:31:54.000Z,4189535786,1513781941375746054,@kkpgoid @budidayakkp @jokowi @itjen_kkp @swtrenggono @tahang_m @KPK_RI @rbkunwas
70,2022-04-12T07:31:50.000Z,125923625,1513781925135101953,"@megantari_jogja @jokowi Pertemuan hari ini membahas Laporan Tahunan Ombudsman RI. Ada bnyk topik yg didiskusikan. Hasilnya, Presiden secara serius akan menindaklanjuti semua saran &amp; rekomendasi Ombudsman RI, trmsk terkait dgn minyak goreng. Semoga kebijakan ke depan bisa berdampak positif utk kita semua"
71,2022-04-12T07:31:49.000Z,624259632,1513781923491233792,@kenzo78418261 @Der16502284 @layla_zaeyn @jokowi pendapatnya ga harus nyerang personal bisa gak? jelek bgt komen lu
72,2022-04-12T07:31:47.000Z,1463466055880232963,1513781913600856065,Presiden Jokowi Lantik Anggota KPU dan Bawaslu Masa Jabatan 2022-2027 https://t.co/d5JmoajWv5
